id,customer,surface_lsd,products,rig_in_date,start_date,end_date,num_wells,valve_7_1_16,valve_5_1_8,valve_hyd,valve_man,gateway_pods,awc_pods,grease_unit,coil_trees,accumulator,techs,work_orders
216,ConocoPhilips,A-26-J ,Frac Stacks / Zipper ,45601,45620,45671,10,29,30,40,2,10,0,Combo (2) + Grease Seacan(3),,1,6,
217,True Canadian (KEC),09-11-062-25-W5M,Frac Stacks / Zipper / PPL,45598,45605,45981,3,11,8,18,2,3,1,Grease Seacan(4)-New,,1,,
218,Tourmaline,B-024-I/094-B-09,Frac Stacks / Zipper / PPL,45611,45621,45651,10,29,30,40,2,10,0,Lil' greasy + Grease Seacan(2),,1,6,
219,Whitecap,15-13-059-19W5M,Frac Stacks / Zipper,45992,45996,46006,2,4,5,8,4,2,1,Combo,,,4,
220,Nuvista,NUV-0731,Frac Stacks / Zipper / PPL,45638,45688,TBD,14,40,28,56,2,14,1,,10K,2,4,
221,Paramount,RMH#1 (04-07),Frac Stacks / Zipper / PPL,45654,45660,45674,3,6,6,12,2,3,0,Seacan3,,1,4,
222,Nuvista,nuv-10-29,Frac Stacks / Zipper,45656,TBD,TBD,5,10,15,20,2,5,0,,,,4,
223,Whitecap,08-05-061-20-W5M,Frac Stacks / Zipper / PPL,45660,45666,45698,5,13,15,20,2,5,0,,10K,,,
224,True Canadian (KEC),14-29-061-24-W5M,Frac Stacks / Zipper / PPL,45664,45669,45697,3,6,12,18,2,3,1,,15K,1,,
225,Paramount,FOX CREEK (01-14),Frac Stacks / Zipper / PPL,45669,45677,45702,4,10,12,16,2,4,0,,-,1,4,
226,Teine,04-15-052-11W5M,Frac Stacks / Zipper,45679,45682,45692,1,2,3,4,0,1,0, 1 20ft camo RD,-,2,2,
227,Tourmaline Ball Drop,C-2-G/94-B-16,"5"" Zipper / Dogbone / PFL",45676,45680,45695,7,0,14,0,0,0,2,,-,1,2,
228,Teine,14-11-052-12W5M,Frac Stacks / Zippers,45701,45703,45723,4,10,12,16,0,4,0,1,,2,4,
229,Whitecap,16-17-063-06w6m,Frac Stacks / Zipper / PPL,45687,45691,45699,3,7,9,12,2,3,0,1,,1,4,
230,Paramount,02-32-038-06W5,Frac Stacks / Zipper / PPL,45699,45700,45723,5,14,15,20,2,5,0,1,,1,4,
231,Nuvista,12-01-068-08W6M,Frac Stacks / Zipper / PPL,45717,45722,45740,5,13,15,20,2,5,0,1,,2,3,
232,Baytex,07-01-045-03W5 ,Frac Stacks / Zippers / PPL,45750,45754,45776,3,6,12,12,0,3,0,1,3,2,4,
233,ConocoPhilips,B-025-K/094-A-12,Frac Stacks / Zippers,45752,45765,45807,9,35,18,36,2,9,0,1,,2,4,
234,True Canadian (KEC),9-33-063-23-W5M,Frac Stacks / Zipper / PPL,45765,45772,45796,3,6,12,18,2,3,1,1,,1,,
235,Veren,03-30-64-02W6M,Frac Stacks / Coil Header,45762,45768,45806,6,2,26,24,4,6,1,1,,2,2,
236,Pacific Canbriam,07-01-08526W5M,Frac Stacks / Zippers / PPL,45770,45777,45801,8,23,16,32,2,8,2,1,8,2,5,
237,Whitecap,06-05-061-20w5 DUV,Frac Stacks / Zipper / PPL,45775,45781,45806,5,14,10,20,2,5,0,1,5,2,4,
238,NUVISTA,14-30-067-06W6M,Frac Stacks / Zipper / PPL,45779,45786,45796,4,10,12,16,2,8,0,1,,2,3,
239,Paramount,04-16-064-18W5 FOX,Frac Stacks / Zipper / PPL,45800,45806,45826,5,10,15,20,2,5,0,1,,2,4,
240,Baytex,08-08-046-02W5 ,Frac Stacks / Zipper / PPL,45796,45798,45820,3,6,9,12,0,3,0,1,,2,4,
241,Veren,06-03-070-05W6M,Frac Stacks / Coil Header,45805,45809,45658,6,4,34,24,0,6,1,1,,2,4,
242,WHITECAP,11-35-059-19W5M - DUV,Frac Stacks / Zipper / PPL,45809,45812,45836,5,13,15,20,2,5,0,1,,2,4,
243,WHITECAP,15-16-062-05W6M - MON,Frac Stacks / Zipper / PPL,45807,45816,45828,4,16,8,16,4,4,1,1,,2,,
244,Teine,01-06-53-11-W5M,Frac Stacks / Zipper,45815,45818,45843,4,10,12,16,0,4,0,1,,2,4,
245,True Canadian (KEC),01-18-059-23-W5M,Frac Stacks / Zipper / PPL,45818,45823,45833,3,14,3,18,2,3,1,1,,1,,
246,Veren,15-07-069-03W6,Frac Stacks / Coil Header,45838,45843,45865,4,4,22,16,0,4,0,1,,2,4,
247,WHITECAP,07-06-061-20-W5M - DUV,Frac Stacks / Zipper / PPL,45836,45843,45863,4,15,8,16,2,4,0,1,,2,4,
